baitID	Cov1	Cov2	Cov_weighted	Cov_pooled	Cov1_allSigInteractions	Cov2_allSigInteractions	Cov_weighted_allSigInteractions	Cov_pooled_allSigInteractions	Cov1_perSigInteraction	Cov2_perSigInteraction	Cov_weighted_perSigInteraction	Cov_pooled_perSigInteraction	Number_interactions	Number_B2B_interactions	Number_signif_interactions	Number_signif_B2B_interactions	Number_signif_interactions_onSameChr	Number_signif_interactions_onSameChr_byBothReps	Number_signif_interactions_byBothReps	Number_signif_B2B_interactions_byBothReps	Distance_signif_mean	Distance_signif_median	Distance_signif_min	Distance_signif_max	Distance_signif_mean_B2B	Distance_signif_median_B2B	Distance_signif_min_B2B	Distance_signif_max_B2B	GCplusCpG_percent_promFrag	CpG_percent_promFrag	genename
4011695	1623	1397	1664	3020	714	657	687	3020	14.875	13.6875	14.3125	28.5625	595	11	48	0	28	28	48	0	24833649.3571429	15125218	110120	93690838	NA	NA	NA	NA	12.93	6.24	Klf4
5546150	1986	1819	2196	3805	985	842	922	3805	13.8732394366197	11.8591549295775	12.9859154929577	25.7323943661972	871	12	71	0	35	34	70	0	24713997.1428571	17792676	36136	66775249	NA	NA	NA	NA	10.63	3.62	Klf2
3570493	1763	1225	1723	2988	1053	610	851	2988	16.453125	9.53125	13.296875	25.984375	609	11	64	0	48	47	62	0	18246436.4375	6949730.5	165020	122959312	NA	NA	NA	NA	15.67	6.06	Sox2
1295638	3367	2815	3360	6182	1977	1726	1860	6182	17.1913043478261	15.0086956521739	16.1739130434783	32.2	858	11	115	0	74	73	112	0	19737878.3783784	15749864	37797	82261948	NA	NA	NA	NA	11.29	4.09	Esrrb.2
4937588	1168	1905	1926	3073	522	667	594	3073	10.875	13.8958333333333	12.375	24.7708333333333	1046	12	48	0	39	38	47	0	20202384.7692308	7352273	36119	115823876	NA	NA	NA	NA	7.47	1.44	Nanog
4936626	1715	1620	1921	3335	738	841	787	3335	11.3538461538462	12.9384615384615	12.1076923076923	24.2923076923077	835	12	65	0	43	43	64	0	25788998.9534884	15192476	42843	118862518	NA	NA	NA	NA	22.97	11	Phc1
3455449	2618	1601	2317	4219	1518	874	1214	4219	18.5121951219512	10.6585365853659	14.8048780487805	29.1707317073171	663	12	82	0	50	50	82	0	25650143.8	10378704.5	45503	143805364	NA	NA	NA	NA	14.89	6.51	Sall4
1038483	1906	1793	2055	3699	975	857	916	3699	15.983606557377	14.0491803278689	15.016393442623	30.0327868852459	666	12	61	0	22	21	60	0	8004281.63636364	813607.5	53555	40526173	NA	NA	NA	NA	14.23	6.43	Stat3
1984935	1764	1735	2022	3499	710	715	714	3499	12.9090909090909	13	12.9818181818182	25.9090909090909	899	9	55	0	31	31	54	0	23590761.1290323	16038291	129020	96331294	NA	NA	NA	NA	23.71	10.19	Lifr
292283	1179	895	1214	2074	562	313	443	2074	12.2173913043478	6.80434782608696	9.6304347826087	19.0217391304348	585	9	46	0	33	32	45	0	19175315.6363636	7494446	24368	61275535	NA	NA	NA	NA	9.55	3.12	Tfcp2l1
5876325	1637	959	1715	2596	365	366	366	2596	9.86486486486486	9.89189189189189	9.89189189189189	19.7567567567568	1070	10	37	0	19	19	36	0	17553996.5263158	6632587	141193	56505416	NA	NA	NA	NA	9.21	3.32	Dppa5a
2242870	1695	1296	1623	2991	1055	791	930	2991	16.2307692307692	12.1692307692308	14.3076923076923	28.4	424	8	65	0	33	33	65	0	13943185.2121212	5278193	28979	65864303	NA	NA	NA	NA	7.95	1.09	Ciita_1
2242890	3753	2521	3471	6274	1796	1377	1598	6274	20.6436781609195	15.8275862068966	18.367816091954	36.4712643678161	941	11	87	0	33	33	87	0	22653800.0606061	8889661	196904	87436010	NA	NA	NA	NA	6.55	1.17	Ciita_2
2242893	2851	2968	3173	5819	1550	1682	1613	5819	17.2222222222222	18.6888888888889	17.9222222222222	35.9111111111111	803	12	90	0	40	40	90	0	14612216.875	6437871	102392	79881510	NA	NA	NA	NA	11.89	2.44	Ciita_3
