baitID	Cov1	Cov2	Cov_weighted	Cov_pooled	Cov1_allSigInteractions	Cov2_allSigInteractions	Cov_weighted_allSigInteractions	Cov_pooled_allSigInteractions	Cov1_perSigInteraction	Cov2_perSigInteraction	Cov_weighted_perSigInteraction	Cov_pooled_perSigInteraction	Number_interactions	Number_B2B_interactions	Number_signif_interactions	Number_signif_B2B_interactions	Number_signif_interactions_onSameChr	Number_signif_interactions_onSameChr_byBothReps	Number_signif_interactions_byBothReps	Number_signif_B2B_interactions_byBothReps	Distance_signif_mean	Distance_signif_median	Distance_signif_min	Distance_signif_max	Distance_signif_mean_B2B	Distance_signif_median_B2B	Distance_signif_min_B2B	Distance_signif_max_B2B	GCplusCpG_percent_promFrag	CpG_percent_promFrag	genename
4011695	1168	1724	1682	2892	463	785	665	2892	7.98275862068965	13.5344827586207	11.4655172413793	21.5172413793103	639	13	58	0	42	40	56	0	21315406.4761905	7713406	43739	93690838	NA	NA	NA	NA	12.93	6.24	Klf4
5546150	1661	2130	2163	3791	672	1072	921	3791	8.4	13.4	11.5125	21.8	710	13	80	0	39	37	77	0	24748882.974359	17792676	43085	64271252	NA	NA	NA	NA	10.63	3.62	Klf2
3570493	1612	1343	1634	2955	903	740	809	2955	13.8923076923077	11.3846153846154	12.4461538461538	25.2769230769231	563	13	65	0	45	44	64	0	18628521.8	4857586	68006	122959312	NA	NA	NA	NA	15.67	6.06	Sox2
1295638	2654	3332	3213	5986	1410	1959	1757	5986	13.3018867924528	18.4811320754717	16.5754716981132	31.7830188679245	644	12	106	0	62	61	104	0	20562708.7096774	16856252	78288	82261948	NA	NA	NA	NA	11.29	4.09	Esrrb.2
4937588	1024	1562	1533	2586	499	594	556	2586	9.7843137254902	11.6470588235294	10.9019607843137	21.4313725490196	626	13	51	0	43	42	50	0	22467458.1627907	7352273	95759	115823876	NA	NA	NA	NA	7.47	1.44	Nanog
4936626	1663	2414	2388	4077	867	1570	1310	4077	8.75757575757576	15.8585858585859	13.2323232323232	24.6161616161616	788	13	99	0	65	63	97	0	24593677.2923077	15192476	81181	118862518	NA	NA	NA	NA	22.97	11	Phc1
3455449	2106	2220	2525	4326	985	1280	1169	4326	10.9444444444444	14.2222222222222	12.9888888888889	25.1666666666667	993	12	90	0	59	58	89	0	22601899.3220339	8062353	30675	116329425	NA	NA	NA	NA	14.89	6.51	Sall4
1038483	1098	1938	1746	3036	417	922	731	3036	7.86792452830189	17.3962264150943	13.7924528301887	25.2641509433962	572	13	53	0	21	20	50	0	5049218.57142857	410478	68173	40487543	NA	NA	NA	NA	14.23	6.43	Stat3
1984935	1216	1476	1545	2692	389	476	445	2692	9.48780487804878	11.609756097561	10.8536585365854	21.0975609756098	646	12	41	0	23	21	39	0	17098418.0869565	3752089	68617	77496858	NA	NA	NA	NA	23.71	10.19	Lifr
292283	753	1678	1534	2431	360	650	539	2431	6.42857142857143	11.6071428571429	9.625	18.0357142857143	776	10	56	0	41	41	56	0	19699620.2439024	13614389	65841	59939197	NA	NA	NA	NA	9.55	3.12	Tfcp2l1
5876325	727	1074	1076	1801	265	445	378	1801	6.30952380952381	10.5952380952381	9	16.9047619047619	513	12	42	0	27	27	41	0	15444285.3703704	6632587	50272	56505416	NA	NA	NA	NA	9.21	3.32	Dppa5a
2242870	1843	1955	2043	3798	1122	1295	1231	3798	17.2615384615385	19.9230769230769	18.9384615384615	37.1846153846154	420	13	65	0	30	30	63	0	15601698.1	6465868	56339	65864303	NA	NA	NA	NA	7.95	1.09	Ciita_1
2242890	3204	3836	4071	7040	1583	1675	1642	7040	16.319587628866	17.2680412371134	16.9278350515464	33.5876288659794	1319	12	97	0	39	38	96	0	18484366.4358974	6458672	119770	87436010	NA	NA	NA	NA	6.55	1.17	Ciita_2
2242893	2308	4250	3737	6558	1284	2455	2010	6558	12.4660194174757	23.8349514563107	19.5145631067961	36.3009708737864	711	13	103	0	52	51	102	0	17436535.4615385	5778659	28204	86972813	NA	NA	NA	NA	11.89	2.44	Ciita_3
